trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
108,right_to_left,(1 0),15.0,horizontal_with,(-1 0),30.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
145,left_to_right,(-1 0),15.0,diagonal_left_down,(-1 -1),60.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
53,left_to_right,(-1 0),15.0,horizontal_against,(1 0),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
43,right_to_left,(1 0),60.0,diagonal_right_up,(1 1),0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
142,right_to_left,(1 0),60.0,vertical_up,(0 1),30.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
98,left_to_right,(-1 0),15.0,diagonal_right_down,(1 -1),30.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
156,right_to_left,(1 0),15.0,horizontal_with,(-1 0),60.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
168,right_to_left,(1 0),30.0,diagonal_left_up,(-1 1),60.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
6,left_to_right,(-1 0),15.0,vertical_up,(0 1),0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
87,left_to_right,(-1 0),60.0,vertical_down,(0 -1),15.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
103,left_to_right,(-1 0),15.0,vertical_down,(0 -1),30.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
150,left_to_right,(-1 0),15.0,vertical_up,(0 1),60.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
61,right_to_left,(1 0),15.0,horizontal_against,(1 0),15.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
184,right_to_left,(1 0),60.0,diagonal_left_up,(-1 1),60.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
43,right_to_left,(1 0),60.0,diagonal_right_up,(1 1),0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
132,left_to_right,(-1 0),60.0,horizontal_with,(-1 0),30.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
47,right_to_left,(1 0),60.0,vertical_down,(0 -1),0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
51,left_to_right,(-1 0),15.0,diagonal_right_up,(1 1),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
94,right_to_left,(1 0),60.0,vertical_up,(0 1),15.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
103,left_to_right,(-1 0),15.0,vertical_down,(0 -1),30.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
159,right_to_left,(1 0),15.0,vertical_down,(0 -1),60.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
30,right_to_left,(1 0),30.0,vertical_up,(0 1),0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
50,left_to_right,(-1 0),15.0,diagonal_right_down,(1 -1),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
125,right_to_left,(1 0),30.0,horizontal_against,(1 0),30.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
76,right_to_left,(1 0),30.0,horizontal_with,(-1 0),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
132,left_to_right,(-1 0),60.0,horizontal_with,(-1 0),30.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
90,right_to_left,(1 0),60.0,diagonal_right_down,(1 -1),15.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
122,right_to_left,(1 0),30.0,diagonal_right_down,(1 -1),30.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
4,left_to_right,(-1 0),15.0,horizontal_with,(-1 0),0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
7,left_to_right,(-1 0),15.0,vertical_down,(0 -1),0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
13,right_to_left,(1 0),15.0,horizontal_against,(1 0),0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
64,left_to_right,(-1 0),30.0,diagonal_left_up,(-1 1),15.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
53,left_to_right,(-1 0),15.0,horizontal_against,(1 0),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
59,right_to_left,(1 0),15.0,diagonal_right_up,(1 1),15.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
52,left_to_right,(-1 0),15.0,horizontal_with,(-1 0),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
77,right_to_left,(1 0),30.0,horizontal_against,(1 0),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
85,left_to_right,(-1 0),60.0,horizontal_against,(1 0),15.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
114,left_to_right,(-1 0),30.0,diagonal_right_down,(1 -1),30.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
42,right_to_left,(1 0),60.0,diagonal_right_down,(1 -1),0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
30,right_to_left,(1 0),30.0,vertical_up,(0 1),0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
86,left_to_right,(-1 0),60.0,vertical_up,(0 1),15.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
7,left_to_right,(-1 0),15.0,vertical_down,(0 -1),0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
115,left_to_right,(-1 0),30.0,diagonal_right_up,(1 1),30.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
43,right_to_left,(1 0),60.0,diagonal_right_up,(1 1),0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
153,right_to_left,(1 0),15.0,diagonal_left_down,(-1 -1),60.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
74,right_to_left,(1 0),30.0,diagonal_right_down,(1 -1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
57,right_to_left,(1 0),15.0,diagonal_left_down,(-1 -1),15.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
